ID,SALES_PRICE,FINISHED_AREA,BEDROOMS,BATHROOMS,GARAGE_SIZE,YEAR_BUILT,STYLE,LOT_SIZE,AIR_CONDITIONER,POOL,QUALITY,HIGHWAY
259,290,2734,4,3,2,1971,3,23488,YES,NO,MEDIUM,NO
260,300,2228,4,3,2,1982,2,21232,YES,NO,MEDIUM,NO
261,354.9,3000,5,4,3,1973,3,21643,YES,NO,MEDIUM,NO
262,261,2404,5,3,3,1973,2,17791,YES,YES,MEDIUM,NO
263,174.5,1840,3,2,2,1960,1,16356,YES,NO,MEDIUM,NO
264,244.9,2107,3,2,2,1947,3,30050,NO,NO,MEDIUM,NO
265,274.9,2788,4,3,2,1984,3,18960,YES,NO,MEDIUM,NO
266,214,2416,3,3,2,1984,2,15594,YES,NO,MEDIUM,NO
267,283,2430,3,4,3,1984,3,18164,YES,NO,MEDIUM,NO
268,177.9,1584,3,2,2,1989,2,13947,YES,NO,MEDIUM,NO
269,237.5,1873,3,3,2,1978,2,21998,YES,NO,MEDIUM,NO
270,202.15,1644,4,3,2,1976,2,19499,YES,NO,MEDIUM,NO
271,235,2400,4,3,2,1976,3,44347,YES,NO,MEDIUM,NO
272,217,2094,4,3,2,1984,2,18617,YES,NO,MEDIUM,NO
273,285,2561,3,3,3,1981,3,18985,YES,NO,MEDIUM,NO
274,217.5,1752,3,2,2,1976,2,24053,YES,NO,MEDIUM,NO
275,210,1738,5,3,2,1983,2,15206,YES,NO,MEDIUM,NO
276,183.34,2068,3,2,3,1977,1,24325,YES,NO,MEDIUM,NO
277,252,2428,4,3,2,1966,3,22727,YES,NO,MEDIUM,NO
278,237,2090,4,2,2,1969,1,22055,YES,NO,MEDIUM,NO
279,205,1820,3,2,2,1944,2,28023,YES,NO,MEDIUM,NO
280,285,3219,4,4,2,1944,3,28200,YES,NO,MEDIUM,NO
281,210,2654,3,5,2,1962,1,28882,YES,NO,MEDIUM,NO
282,280,1802,4,3,2,1956,1,27700,YES,NO,MEDIUM,NO
283,207,1765,3,2,2,1976,2,22983,YES,NO,MEDIUM,NO
284,221,2786,4,3,2,1976,3,22875,YES,NO,MEDIUM,NO
285,257,1794,3,2,2,1960,2,21691,YES,NO,MEDIUM,NO
286,274,2768,3,3,2,1921,3,26268,NO,NO,MEDIUM,NO
287,262,2288,3,2,2,1963,2,16975,YES,NO,MEDIUM,NO
288,204.4,2028,3,2,2,1951,1,26777,YES,NO,MEDIUM,NO
289,254.9,2620,5,3,2,1966,3,27989,YES,NO,MEDIUM,NO
290,244,1644,3,3,2,1980,2,32164,YES,NO,MEDIUM,NO
291,213,1888,3,2,3,1958,1,14757,YES,NO,MEDIUM,NO
292,240,2116,4,3,2,1964,3,22041,YES,NO,MEDIUM,NO
293,235,2313,4,3,2,1972,3,24705,YES,NO,MEDIUM,NO
294,206,1824,4,2,2,1959,1,14748,YES,NO,MEDIUM,NO
295,237,1942,4,3,2,1972,2,23105,YES,NO,MEDIUM,NO
296,274,2184,4,3,2,1977,2,19090,YES,NO,MEDIUM,NO
297,275,2578,3,3,2,1965,3,22299,YES,NO,MEDIUM,NO
298,218.4,2036,4,3,2,1960,3,21996,YES,NO,MEDIUM,NO
299,156,1384,2,1,2,1961,1,26706,NO,NO,MEDIUM,NO
300,220,1826,4,3,2,1952,1,19870,YES,NO,MEDIUM,NO
301,171.5,1681,3,2,1,1957,1,15985,YES,NO,MEDIUM,NO
302,180,1726,3,2,2,1962,1,26769,YES,NO,MEDIUM,NO
303,204,1910,3,2,2,1958,2,15423,YES,NO,MEDIUM,NO
304,307,2664,4,3,2,1962,3,22684,YES,NO,MEDIUM,NO
305,265,2116,3,3,2,1976,2,33344,YES,NO,MEDIUM,NO
306,209.9,2030,3,3,2,1959,1,21914,YES,NO,MEDIUM,NO
307,173,1940,3,2,2,1956,2,11610,NO,NO,MEDIUM,NO
308,189,1676,3,3,2,1965,2,21780,NO,NO,MEDIUM,NO
309,222.5,2120,3,2,2,1959,1,17883,YES,YES,MEDIUM,NO
310,265,2152,4,3,2,1987,1,26075,YES,NO,MEDIUM,NO
311,264.67,1984,4,3,2,1966,1,31204,YES,NO,MEDIUM,NO
312,200.75,1575,3,3,2,1957,1,25543,YES,NO,MEDIUM,NO
313,227.9,1798,3,3,2,1978,2,17820,YES,NO,MEDIUM,NO
314,255,2017,3,1,1,1958,2,86571,NO,NO,MEDIUM,NO
315,208.5,1904,3,3,2,1978,2,15559,YES,NO,MEDIUM,NO
316,226.9,1718,3,3,2,1976,2,49613,YES,NO,MEDIUM,NO
317,215,1776,4,2,1,1980,2,22839,NO,NO,MEDIUM,NO
318,222.95,2609,4,3,2,1961,1,26087,YES,NO,MEDIUM,NO
319,239.9,2226,3,3,2,1955,2,13520,YES,NO,MEDIUM,NO
320,176,1556,2,1,3,1959,2,15623,YES,NO,MEDIUM,NO
321,228,1764,2,2,2,1985,2,8105,YES,NO,MEDIUM,NO
322,204.9,1626,3,3,2,1968,2,15288,YES,YES,MEDIUM,NO
323,258,2012,5,3,2,1967,2,21303,YES,NO,MEDIUM,NO
324,241.85,2090,4,4,2,1963,3,22010,YES,NO,MEDIUM,NO
325,198.5,2192,4,2,2,1963,2,22851,YES,NO,MEDIUM,NO
326,243,2228,4,4,2,1965,3,21881,YES,NO,MEDIUM,NO
327,187,1825,4,2,2,1963,2,15810,YES,NO,MEDIUM,NO
328,233,2132,4,3,2,1966,2,17159,YES,NO,MEDIUM,NO
329,205,2160,3,2,2,1983,3,16555,YES,NO,MEDIUM,NO
330,205,1974,3,2,2,1954,1,26196,YES,NO,MEDIUM,NO
331,189,1696,3,3,2,1968,1,31851,YES,NO,MEDIUM,NO
332,204.9,2132,3,3,2,1969,3,23986,YES,NO,MEDIUM,NO
333,239,1814,4,3,2,1979,2,24698,YES,YES,MEDIUM,NO
334,193,1796,3,2,2,1963,2,29281,YES,NO,MEDIUM,NO
335,260,2268,5,3,2,1971,2,35240,YES,NO,MEDIUM,NO
336,188,1719,2,3,2,1960,1,22009,YES,NO,MEDIUM,NO
337,190.5,1704,3,2,2,1984,2,22583,YES,NO,MEDIUM,NO
338,230,2142,3,2,2,1959,1,22223,YES,NO,MEDIUM,NO
339,240,1705,4,2,2,1972,1,42322,YES,NO,MEDIUM,NO
340,235,1752,4,3,2,1978,2,39267,YES,NO,MEDIUM,NO
341,275,2554,5,3,2,1966,3,22381,YES,YES,MEDIUM,NO
342,205,1650,3,2,2,1965,2,27235,YES,NO,MEDIUM,NO
343,280,2816,5,3,2,1946,3,29109,YES,NO,MEDIUM,NO
344,190,1919,3,4,2,1938,3,20093,YES,NO,MEDIUM,NO
345,232.5,2080,3,2,2,1968,1,32021,YES,NO,MEDIUM,NO
346,259.5,2108,4,4,2,1978,3,24685,YES,NO,MEDIUM,NO
347,275,2480,3,3,2,1964,1,22144,YES,NO,MEDIUM,NO
348,183.9,1746,3,2,2,1974,2,52136,YES,NO,MEDIUM,NO
349,290,2703,3,3,4,1963,1,43599,NO,NO,MEDIUM,NO
350,217.95,1640,4,2,2,1979,2,21314,YES,NO,MEDIUM,NO
351,220,2196,4,3,2,1972,3,17899,YES,NO,MEDIUM,NO
352,185,1701,3,2,1,1982,2,21938,YES,NO,MEDIUM,NO
353,288,2250,3,2,2,1949,2,23684,YES,NO,MEDIUM,NO
354,197.5,2502,4,2,2,1964,3,23749,YES,NO,MEDIUM,NO
355,179.975,1762,4,3,2,1959,1,15742,YES,NO,MEDIUM,NO
356,195,2016,4,3,2,1963,2,18102,YES,NO,MEDIUM,NO
357,228.4,1904,3,3,2,1976,2,14945,YES,YES,MEDIUM,NO
358,194.75,1652,5,2,2,1960,1,24644,YES,NO,MEDIUM,NO
359,195,2042,4,3,2,1963,2,21849,NO,NO,MEDIUM,NO
360,210,2019,4,3,3,1960,2,14837,YES,NO,MEDIUM,NO
361,239.55,2791,5,3,3,1946,2,22863,YES,NO,MEDIUM,NO
362,242,2514,4,3,1,1953,3,17535,YES,NO,MEDIUM,NO
363,185,1746,3,2,2,1984,2,12386,YES,NO,MEDIUM,NO
364,175,1930,3,2,2,1956,2,15923,YES,NO,MEDIUM,NO
365,165,1552,3,1,3,1959,2,27068,YES,NO,MEDIUM,NO
366,185,1566,4,2,2,1993,2,13504,YES,NO,MEDIUM,NO
367,173.194,1669,3,2,2,1964,2,24643,YES,NO,MEDIUM,NO
368,205.15,1814,3,3,2,1978,2,18714,YES,NO,MEDIUM,NO
369,214.2,1794,3,3,3,1976,2,24308,YES,NO,MEDIUM,NO
370,182.5,1691,3,2,2,1968,2,21961,YES,YES,MEDIUM,NO
371,205,1834,4,3,2,1959,1,30726,YES,NO,MEDIUM,NO
372,208,1984,5,3,2,1961,1,22047,YES,NO,MEDIUM,NO
373,225,1966,4,3,2,1962,1,24871,YES,NO,MEDIUM,NO
374,170,1669,3,2,2,1967,2,21253,YES,NO,MEDIUM,NO
375,216,2132,4,3,2,1976,1,41332,YES,NO,MEDIUM,NO
376,180,2007,4,3,2,1959,2,15992,YES,NO,MEDIUM,NO
377,169.2,1964,4,2,2,1964,3,18162,YES,NO,MEDIUM,NO
378,213,2325,4,3,3,1973,2,16699,YES,NO,MEDIUM,NO
379,210,2196,4,3,2,1965,3,29329,YES,NO,MEDIUM,NO
380,185,2061,3,2,2,1956,2,25379,YES,NO,MEDIUM,NO
381,179.9,1828,3,2,2,1956,2,37150,YES,NO,MEDIUM,NO
382,196,1956,4,3,2,1968,1,20486,YES,NO,MEDIUM,NO
383,219.9,1852,6,3,2,1968,2,20800,YES,NO,MEDIUM,NO
384,159.9,1795,1,2,2,1980,3,26467,YES,NO,MEDIUM,NO
385,170,1580,2,1,1,1950,3,10799,NO,NO,LOW,NO
386,169.9,1708,3,1,1,1950,1,11413,NO,NO,LOW,NO
387,189.5,1700,4,2,2,1953,1,14023,NO,NO,LOW,NO
388,195,1742,1,1,2,1961,1,18250,YES,NO,LOW,NO
389,215,1890,4,2,2,1961,1,22110,YES,NO,LOW,NO
390,171,1512,2,1,1,1956,1,14774,NO,NO,LOW,NO
391,179.9,1840,3,1,2,1953,1,40832,NO,NO,LOW,NO
392,120,1060,2,1,2,1947,1,15001,NO,NO,LOW,NO
393,175,1540,3,2,2,1957,1,45458,NO,NO,LOW,NO
394,232.9,1550,4,2,2,1962,2,14998,YES,YES,LOW,NO
395,229.9,2787,4,2,1,1922,3,39558,YES,NO,LOW,NO
396,174.9,1528,2,2,2,1982,1,25193,YES,NO,LOW,NO
397,168.9,1928,2,2,2,1941,3,26393,NO,NO,LOW,NO
398,229.5,2329,3,2,2,1960,3,28179,YES,NO,LOW,NO
399,236,1940,4,3,2,1959,1,15073,YES,NO,LOW,NO
400,205.5,2114,5,2,2,1966,3,14526,YES,NO,LOW,NO
401,212,1799,3,2,2,1962,2,16210,YES,NO,LOW,NO
402,205,1864,3,2,2,1940,1,25628,YES,NO,LOW,NO
403,193,1581,3,2,2,1956,1,15064,YES,NO,LOW,NO
404,180,1652,3,2,2,1959,2,21875,YES,NO,LOW,NO
405,184,1592,4,2,2,1977,1,25943,NO,NO,LOW,NO
406,144.9,1520,3,1,1,1953,2,36359,NO,NO,LOW,NO
407,255,1792,2,2,2,1955,1,31257,YES,NO,LOW,NO
408,137,1464,2,1,1,1957,1,14999,NO,NO,LOW,NO
409,178,1702,3,2,2,1961,1,21898,NO,NO,LOW,NO
410,296,2180,3,2,2,1952,1,29617,YES,NO,LOW,NO
411,186.5,1486,2,2,2,1958,1,18479,YES,NO,LOW,NO
412,170,1364,2,1,2,1942,1,26369,NO,NO,LOW,NO
413,219,1540,4,2,2,1977,2,30691,YES,NO,LOW,NO
414,188,1608,4,2,2,1969,2,19380,YES,NO,LOW,NO
415,195.25,1668,3,1,2,1956,2,17060,YES,NO,LOW,NO
416,175,1944,3,2,2,1951,1,43562,YES,NO,LOW,NO
417,215,1883,4,2,2,1956,1,19932,YES,YES,LOW,NO
418,197.5,2215,4,1,2,1948,3,25540,NO,NO,LOW,NO
419,249.9,1916,2,2,2,1954,1,20576,YES,NO,LOW,NO
420,180,1508,2,2,2,1959,1,32469,YES,NO,LOW,NO
421,174.9,1809,3,1,2,1958,2,16782,YES,NO,LOW,NO
422,189.9,1958,4,3,2,1935,3,22788,NO,NO,LOW,NO
423,154,1592,2,1,2,1951,1,10332,YES,NO,LOW,NO
424,150,1636,2,1,2,1950,1,10000,YES,NO,LOW,NO
425,189.9,1800,3,2,2,1964,2,13566,NO,NO,LOW,NO
426,157,1600,3,1,2,1950,3,10807,NO,NO,LOW,NO
427,182,1550,3,1,2,1966,1,15100,YES,NO,LOW,NO
428,187.65,1578,3,1,2,1958,1,14631,YES,NO,LOW,NO
429,175,1644,3,1,2,1956,1,12999,YES,NO,LOW,NO
430,189.9,1556,3,2,1,1959,2,19840,YES,NO,LOW,NO
431,175,1672,3,1,2,1949,1,22617,YES,NO,LOW,NO
432,159.9,1650,2,2,1,1957,1,14997,YES,NO,LOW,NO
433,184.9,1676,3,2,2,1956,1,16156,NO,NO,LOW,NO
434,174.9,1960,2,2,2,1947,1,16953,NO,NO,LOW,NO
435,143,1649,3,1,1,1951,3,20096,YES,NO,LOW,NO
436,164.9,1728,3,1,1,1950,2,10999,YES,NO,LOW,NO
437,173.5,1586,3,2,1,1958,1,15862,YES,NO,LOW,NO
438,161.8,1592,2,1,1,1951,1,18686,NO,NO,LOW,NO
439,148,1514,2,2,1,1964,1,16209,YES,NO,LOW,NO
440,177,1952,4,2,2,1963,1,24377,YES,NO,LOW,NO
441,149.9,1550,3,1,2,1956,1,14311,YES,NO,LOW,NO
442,170,1544,2,2,1,1957,1,14942,NO,NO,LOW,NO
443,142,1566,3,1,1,1959,1,15228,NO,NO,LOW,NO
444,186.9,1650,3,2,2,1961,1,22000,YES,NO,LOW,NO
445,152.9,1392,2,2,2,1951,1,29199,NO,NO,LOW,NO
446,350,2981,5,4,2,1950,3,49756,YES,NO,LOW,NO
447,130,1412,2,1,1,1940,1,16752,NO,NO,LOW,NO
448,167.9,2180,4,2,2,1948,2,15001,NO,NO,LOW,NO
449,184.9,1704,2,2,2,1954,1,16759,YES,NO,LOW,NO
450,178,1600,3,2,2,1957,2,15090,YES,NO,LOW,NO
451,111,1276,3,2,1,1951,1,11554,NO,NO,LOW,NO
452,207,1666,4,2,1,1954,1,39523,NO,NO,LOW,NO
453,190,1760,3,2,2,1974,2,20193,YES,NO,LOW,NO
454,230,1836,3,2,2,1946,1,46339,NO,NO,LOW,NO
455,165,1636,3,1,2,1953,1,20125,NO,NO,LOW,NO
456,210,1748,3,2,2,1957,1,14512,YES,NO,LOW,NO
457,226,2556,4,2,2,1923,3,36276,NO,NO,LOW,NO
458,149.9,1511,4,1,1,1954,1,14821,YES,NO,LOW,NO
459,155,1524,3,2,2,1958,1,21875,YES,NO,LOW,NO
460,219.9,1821,4,2,2,1956,1,16696,YES,NO,LOW,NO
461,132,1596,1,1,0,1940,1,28357,NO,NO,LOW,NO
462,195,2392,4,2,2,1960,1,30265,NO,NO,LOW,NO
463,155.9,1748,2,1,2,1956,1,16231,YES,NO,LOW,NO
464,119.9,1384,2,1,0,1949,1,30002,NO,NO,LOW,NO
465,175,1628,3,1,2,1957,1,17069,YES,YES,LOW,NO
466,304,1911,4,2,2,1953,1,86248,YES,NO,LOW,NO
467,190,1624,4,3,1,1959,2,15002,NO,NO,LOW,NO
468,229.1,1956,3,2,2,1984,3,14710,YES,YES,LOW,NO
469,187.5,2012,4,2,2,1953,3,14925,NO,NO,LOW,NO
470,173,1590,2,2,2,1956,1,22336,YES,NO,LOW,NO
471,170,1687,2,1,1,1941,2,20925,YES,NO,LOW,NO
472,179,1816,4,1,2,1956,2,16508,YES,NO,LOW,NO
473,162.5,1622,3,1,1,1956,2,16120,YES,NO,LOW,NO
474,172,1604,4,2,2,1954,1,14964,YES,NO,LOW,NO
475,153.2,1592,4,2,1,1956,1,16396,NO,NO,LOW,NO
476,220,1922,3,2,2,1952,1,33579,YES,NO,LOW,NO
477,174,1892,3,1,1,1955,2,14712,YES,NO,LOW,NO
478,200,1628,3,1,2,1959,1,15412,YES,NO,LOW,NO
479,161,1644,2,2,2,1956,1,17030,YES,NO,LOW,NO
480,135,1450,3,1,2,1955,1,15868,YES,NO,LOW,NO
481,190,1592,3,2,2,1959,1,22748,YES,NO,LOW,NO
482,153.8,1654,2,1,2,1962,1,25874,NO,NO,LOW,NO
483,144.9,1388,2,1,2,1950,1,10568,YES,NO,LOW,NO
484,165,1670,3,2,2,1953,1,18525,NO,NO,LOW,NO
485,186,1953,3,2,1,1956,1,17129,YES,NO,LOW,NO
486,167,2008,3,1,2,1963,1,21860,YES,NO,LOW,NO
487,189.6,1650,3,2,2,1960,1,34724,YES,NO,LOW,NO
488,170,1578,3,1,2,1975,1,22485,YES,NO,LOW,NO
489,189.5,1618,3,2,2,1962,1,27539,YES,NO,LOW,NO
490,153.5,1642,3,1,2,1959,1,14901,NO,NO,LOW,NO
491,159.9,2008,1,2,2,1941,1,31657,YES,NO,LOW,NO
492,158,1604,3,2,1,1960,1,23534,YES,NO,LOW,NO
493,175,2035,4,2,3,1962,3,20131,YES,NO,LOW,NO
494,147,1534,3,2,1,1955,2,15361,NO,NO,LOW,NO
495,155,1624,2,2,2,1955,1,16721,YES,NO,LOW,NO
496,150,1700,4,2,1,1954,1,15391,YES,NO,LOW,NO
497,165,1630,3,2,2,1978,2,24963,YES,NO,LOW,NO
498,147,1526,3,2,1,1957,1,15007,YES,NO,LOW,NO
499,146.25,1672,3,1,2,1949,1,22617,YES,NO,LOW,NO
500,177.5,1588,4,2,2,1980,2,21925,YES,NO,LOW,NO
501,153.65,1752,4,2,2,1950,3,9126,YES,NO,LOW,NO
502,199.5,1674,4,2,2,1947,1,33237,NO,NO,LOW,NO
503,186,1980,3,1,1,1927,3,47679,NO,NO,LOW,NO
504,139.9,1396,1,1,2,1950,1,25879,NO,NO,LOW,NO
505,160,1178,1,1,2,1959,1,9941,NO,NO,LOW,NO
506,125,1263,2,2,0,1955,1,12357,NO,NO,LOW,NO
507,359.9,2377,5,2,2,1937,3,51005,YES,NO,LOW,NO
508,184.5,1304,3,1,2,1951,1,21305,YES,NO,LOW,NO
509,155,1340,3,1,0,1952,1,5666,NO,NO,LOW,NO
510,150,1559,2,1,2,1952,1,23999,NO,NO,LOW,NO
511,146,1412,1,2,0,1920,1,4560,YES,NO,LOW,NO
512,129,1198,2,2,2,1925,1,20918,YES,NO,LOW,NO
513,145,1424,2,1,2,1947,1,16414,YES,NO,LOW,NO
514,200,1370,4,1,1,1925,2,8000,NO,NO,LOW,NO
515,149.9,1584,3,2,2,1957,1,13514,YES,NO,LOW,NO
516,132,1567,2,1,1,1934,2,12249,YES,NO,LOW,NO
517,136.9,1409,2,1,1,1951,1,28421,NO,NO,LOW,NO
518,137,1655,2,1,1,1935,1,54651,NO,NO,LOW,NO
519,185,1944,3,2,2,1939,3,17999,YES,NO,LOW,NO
520,133.5,1922,3,1,2,1950,1,14805,NO,NO,LOW,NO
521,124,1480,3,2,2,1953,1,28351,YES,NO,LOW,NO
522,95.5,1184,2,1,1,1951,1,14786,NO,NO,LOW,NO
